Issue Severity,Endpoint,Section,Tree,Field Path,Field Name,Type,YML Description,Real Description (from code),Code Reference,Match?,Notes
✅ OK,LOGIN,RESPONSE,│   └── scanFilter,data.filters[].scanFilter,scanFilter,boolean,"Whether this filter is used for scanning an external order.","Indicates if this filter is used for scanning an external order (barcode reading). In the simulator only documentNo has scanFilter: true.","ExternalOrdersSimulator.js#L110 → scanFilter: true (solo en documentNo); loginResponse-schema.yml → 'Whether this filter is used for scanning an external order.'",OK,"Descripción correcta."
✅ OK,LOGIN,RESPONSE,├── columns,data.columns,columns,array,"List with the definition of external orders headers used to display the dataset returned by the search filter","Array of column definitions for the search results table. Defines which order fields are displayed and how.","ExternalOrdersSimulator.js#L123-L138 → devuelve 3 columnas (documentNo, businessPartner, date); loginResponse-schema.yml → required: [filters, columns]",OK,"Descripción correcta."
✅ OK,LOGIN,RESPONSE,│   ├── field,data.columns[].field,field,string,"Identifier of the order field.","Order field identifier. Must match the keys of the values object of each order in the SEARCH response.","ExternalOrdersSimulator.js#L125,L130,L135 → 'documentNo', 'businessPartner', 'date'; searchOrderResponse-schema.yml → orders[].values contiene los valores correspondientes",OK,"Descripción correcta."
ℹ️ MEJORABLE,LOGIN,RESPONSE,│   ├── label,data.columns[].label,label,string,"Label to be displayed in the header of the orders dataset returned by the search filter.","Column header label in the results table. NOTE: in the schema it is defined as 'label' but in the simulator and in the main YML example 'headerName' is used instead of 'label'.","ExternalOrdersSimulator.js#L126,L131,L136 → usa 'headerName' no 'label'; loginResponse-schema.yml → define 'label' como required; YML ejemplo → también usa 'headerName'",Parcial,"Inconsistencia: el schema define 'label' como campo requerido pero el simulador y el ejemplo usan 'headerName'. Posible campo renombrado sin actualizar el schema."
✅ OK,LOGIN,RESPONSE,│   ├── type,data.columns[].type,type,string,"Filter fixed value type (enum: string, date)","Column data type. Determines the display format in the table.","ExternalOrdersSimulator.js#L127,L132,L137 → 'string', 'string', 'date'; loginResponse-schema.yml → enum: [string, date]",OK,"Descripción correcta aunque la YML description dice 'Filter fixed value type' cuando debería decir 'Column value type' (es una columna no un filtro)."
✅ OK,LOGIN,RESPONSE,│   └── sortable,data.columns[].sortable,sortable,boolean,"Allows sorting the search result by the values stored in this column. Default is false.","Allows sorting search results by this column. Default false. In the simulator only documentNo has sortable: true.","ExternalOrdersSimulator.js#L128 → sortable: true (solo en documentNo); loginResponse-schema.yml → 'Default is false.'",OK,"Descripción correcta."
✅ OK,SEARCH,REQUEST,action,action,action,string,"Fixed value for the present request (enum: SEARCH)","Fixed value 'SEARCH'. Defined in ExternalOrdersUtils.js → getExternalOrdersListAction().","ExternalOrdersUtils.js#L38 → getExternalOrdersListAction() devuelve 'SEARCH'; ExternalOrdersUtils.js#L93 → buildRequest() lo asigna",OK,"Descripción correcta."
✅ OK,SEARCH,REQUEST,├── filters,data.filters,filters,array,"List with the search values of the orders to load based on the applied filters in the query","Array of filters with the values entered by the cashier. Each element has field (identifier) and value (searched value). Passed directly from the UI.","GetExternalOrdersList.js#L12 → pasa filters al buildRequest; ExternalOrdersSimulator.js#L79-L89 → processSearch() itera filters y filtra ordersInfo",OK,"Descripción correcta."
✅ OK,SEARCH,REQUEST,│   ├── field,data.filters[].field,field,string,"Identifier of the order field","Filter field identifier. Matches the field defined in the LOGIN response filters. Used in the simulator to look up the corresponding value in each order.","ExternalOrdersSimulator.js#L87 → getOrderFilterValue(order, filter.field) busca el valor en order.values[filterName]",OK,"Descripción correcta."
✅ OK,SEARCH,REQUEST,│   └── value,data.filters[].value,value,string,"Filled value for the filter to be applied on search query","Value entered by the cashier for this filter. Used in the simulator for case-insensitive matching with includes().","ExternalOrdersSimulator.js#L88 → val.toLowerCase().includes(filter.value.toLowerCase()); HttpInterceptor.js#L63 → en REST se envía como query param: params.append(item.field, item.value)",OK,"Descripción correcta."
ℹ️ MEJORABLE,SEARCH,REQUEST,├── offset,data.offset,offset,number,"Indicates the starting record of the dataset result of the filter query. It will be used to implement pagination. TO BE DEFINED if the offset is zero based or one based","Offset for pagination. Passed from GetExternalOrdersList.js as the second argument. NOTE: the YML says 'TO BE DEFINED if the offset is zero based or one based' — still undefined.","GetExternalOrdersList.js#L12 → getExternalOrdersList(filters, offset, limit) pasa offset al buildRequest; ExternalOrdersSimulator.js → no implementa paginación, ignora offset",Parcial,"El YML tiene un TODO pendiente ('TO BE DEFINED') sobre si es zero-based o one-based. El simulador no implementa paginación así que no hay referencia de uso real."
ℹ️ MEJORABLE,SEARCH,REQUEST,└── limit,data.limit,limit,number,"Indicates the limit of records returned of the dataset result of the filter query. It will be used to implement pagination or to prevent loading a big dataset of orders.","Record limit for pagination. Passed from GetExternalOrdersList.js as the third argument. The simulator does not implement it.","GetExternalOrdersList.js#L12 → getExternalOrdersList(filters, offset, limit) pasa limit al buildRequest; ExternalOrdersSimulator.js → no implementa limit",Parcial,"Descripción correcta pero el simulador no implementa ni offset ni limit, así que la paginación no está probada en el entorno de test."
✅ OK,SEARCH,RESPONSE,├── offset,data.offset,offset,number,"The offset of the orders list returned by this search request","Offset returned in the search response. Allows the client to know from which record the returned dataset starts.","ExternalOrdersSimulator.js#L148 → devuelve offset: 100 (valor fijo en simulador); searchOrderResponse-schema.yml → required: [offset, orders]",OK,"Descripción correcta."
✅ OK,SEARCH,RESPONSE,└── orders,data.orders,orders,array,"The list of orders returned by the search request. The model of each order record matches the definition of the data.headers definition returned in the LOGIN response.","Array of found orders. Each order has orderID and values. The simulator filters ordersInfo according to the received filters.","ExternalOrdersSimulator.js#L147-L149 → devuelve orders: [...this.processSearch(request)]; searchOrderResponse-schema.yml → required: [offset, orders]",OK,"Descripción correcta."
✅ OK,SEARCH,RESPONSE,    ├── orderID,data.orders[].orderID,orderID,string,"Identifier of the order","Unique identifier of the order in the external system. Used later in LOAD to load the order details.","ExternalOrdersSimulator.js#L18,L25,L32... → cada order tiene orderID como 'EXT_VBS_...'; GetExternalOrdersTicket.js#L12 → getExternalOrdersTicket({orderID}) lo envía al LOAD",OK,"Descripción correcta."
✅ OK,SEARCH,RESPONSE,    └── values,data.orders[].values,values,object,"Contains the details of the order matching the headers definition from the LOGIN response","Object with the order values. The keys must match the field defined in columns of the LOGIN response (documentNo, businessPartner, date, etc.).","ExternalOrdersSimulator.js#L19-L23 → values: { documentNo, businessPartner, externalBusinessPartnerReference, date }; ExternalOrdersSimulator.js#L77 → getOrderFilterValue() accede a order.values[filterName]",OK,"Descripción correcta."
✅ OK,LOAD,REQUEST,action,action,action,string,"Fixed value for the present request (enum: LOAD)","Fixed value 'LOAD'. Defined in ExternalOrdersUtils.js → getExternalOrdersTicketAction().","ExternalOrdersUtils.js#L56 → getExternalOrdersTicketAction() devuelve 'LOAD'; ExternalOrdersUtils.js#L93 → buildRequest() lo asigna",OK,"Descripción correcta."
✅ OK,LOAD,REQUEST,└── orderID,data.orderID,orderID,string,"Order identifier of the order to be loaded","ID of the external order to load. Obtained from the orderID selected in the SEARCH results list.","GetExternalOrdersTicket.js#L12 → getExternalOrdersTicket({orderID}) envía {orderID} como data; HttpInterceptor.js#L27 → en REST se usa como path param: externalOrders/${data.orderID}",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,├── orderDate,data.orderDate,orderDate,string (date),"Date of the order. Optional","Order date. Optional. In addBasicProperties() if it does not come, new Date().toISOString() is assigned as default.","LoadExternalOrdersTicket.js#L258 → addBasicProperties() hace { id: UUID, orderDate: new Date().toISOString(), ...newTicket } — el spread de newTicket sobreescribe orderDate si viene; ExternalOrdersSimulator.js#L195 → orderDate: '12-02-2024'",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,├── orderID,data.orderID,orderID,string,"Order identifier at the external system","Order ID in the external system. Preserved in the ticket and used later in COMMIT to identify the order. Also used as fallback for obpos2Entryvalue in the lines.","LoadExternalOrdersTicket.js#L80 → addProductToLines() usa newTicket.orderID como fallback de obpos2Entryvalue; CommitExternalOrderActionPreparation.js#L22 → commitParams.orderID = Ticket.orderID",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,├── documentNo,data.documentNo,documentNo,string,"Document number to be assigned. Optional","Document number to assign to the order. Optional. Used as the first fallback for obpos2Entryvalue in the lines.","LoadExternalOrdersTicket.js#L80 → obpos2Entryvalue: newTicket.documentNo || newTicket.orderID || newTicket.id; ExternalOrdersSimulator.js#L155 → documentNo: 'EXT/0001'",OK,"Descripción correcta."
ℹ️ MEJORABLE,LOAD,RESPONSE,├── grossAmount,data.grossAmount,grossAmount,number,"Gross amount of the ticket. Not used, recalculated","Total gross amount of the ticket. The YML itself indicates it is not used and is recalculated. Sent in the simulator but not processed in LoadExternalOrdersTicket.js.","ExternalOrdersSimulator.js#L156 → grossAmount: 150.5; loadOrderResponse-schema.yml → 'Not used, recalculated'",Parcial,"La descripción es honesta ('Not used, recalculated') pero el campo sigue en el schema como no-required. Podría marcarse como deprecated o eliminarse."
ℹ️ MEJORABLE,LOAD,RESPONSE,├── netAmount,data.netAmount,netAmount,number,"Net amount of the ticket. Not used, recalculated","Total net amount of the ticket. The YML itself indicates it is not used and is recalculated. Sent in the simulator but not processed in LoadExternalOrdersTicket.js.","ExternalOrdersSimulator.js#L157 → netAmount: 124.38; loadOrderResponse-schema.yml → 'Not used, recalculated'",Parcial,"Mismo caso que grossAmount: campo no usado pero presente en el schema. Podría marcarse como deprecated."
✅ OK,LOAD,RESPONSE,├── externalBPReference,data.externalBusinessPartnerReference,externalBusinessPartnerReference,string,"Reference id to an External Business Partner. Optional","External Business Partner reference. Used in addExternalBusinessPartnerInfoToTicket() to associate the BP to the ticket and in the post-hook of loadExternalOrdersTicket.","ExternalOrdersUtils.js#L137 → newTicket.externalBusinessPartnerReference = businessPartner.getKey(); ExternalOrdersSimulator.js#L159 → 'EDC5DBD82C3B4E3896B3955E041B242C'",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,├── warehouseSearchKey,data.warehouseSearchKey,warehouseSearchKey,string,"Reference to the warehouseSearchKey","Warehouse search key. Used in addWarehouseToTicketAndLines() to look up the warehouse in the terminal's warehouse list and assign it to the ticket and its lines.","LoadExternalOrdersTicket.js#L178-L181 → addWarehouseToTicketAndLines() busca warehouse.searchKey === newTicket.warehouseSearchKey; ExternalOrdersSimulator.js#L161 → 'WVS/001'",OK,"Descripción correcta aunque escueta."
✅ OK,LOAD,RESPONSE,├── priceIncludesTaxes,data.priceIncludesTaxes,priceIncludesTaxes,boolean,"Indicates if taxes are included in the price","Indicates if prices include taxes. NOTE: in the schema it is called 'priceIncludesTaxes' (plural) but in the simulator and in addBasicProperties() 'priceIncludesTax' (singular) is used. addBasicProperties() overwrites with pricelist.priceIncludesTax from the terminal.","LoadExternalOrdersTicket.js#L265 → addBasicProperties() asigna priceIncludesTax: pricelist.priceIncludesTax (del terminal, no del response); ExternalOrdersSimulator.js#L162 → priceIncludesTax: true (singular)",OK,"Descripción correcta. El campo del schema usa plural ('Taxes') pero el código usa singular ('Tax')."
✅ OK,LOAD,RESPONSE,├── obposOldPrepaymentamt,data.obposOldPrepaymentamt,obposOldPrepaymentamt,number,"Value to define the prepayment amount for the ticket. Optional","Ticket prepayment amount. Preserved in the ticket as-is from the response. Not transformed in LoadExternalOrdersTicket.js.","ExternalOrdersSimulator.js#L163 → obposOldPrepaymentamt: 20; loadOrderResponse-schema.yml → 'Value to define the prepayment amount for the ticket. Optional'",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,├── isQuotation,data.isQuotation,isQuotation,boolean,"Informs if the order must be considered as a quotation","Indicates if the order is a quotation. In addBasicProperties() it is normalized with !!newTicket.isQuotation (converts to strict boolean).","LoadExternalOrdersTicket.js#L263 → isQuotation: !!newTicket.isQuotation; ExternalOrdersSimulator.js#L164 → isQuotation: false",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,├── documentType,data.documentType,documentType,string,"Reference id to a document type in case of needed. Optional","Document type ID. Optional. Preserved in the ticket as-is. Only some simulator orders include it.","ExternalOrdersSimulator.js#L199 → documentType: '0A1D4A2DB7144D81A821E31A9B332ACB' (solo en EXT/0002 y EXT/0005); loadOrderResponse-schema.yml → 'Reference id to a document type in case of needed. Optional'",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,├── generateInvoice,data.generateInvoice,generateInvoice,boolean,"Indicates that the invoice will be created","Indicates that an invoice must be created. Processed in addForceInvoice(): if true and fullInvoice is true a full invoice is generated; if fullInvoice is false and generateSubstitutiveInvoice is true a substitutive invoice is generated. Also assigns obInvoicingAddress and obShippingAddress from the BP.","LoadExternalOrdersTicket.js#L289-L305 → addForceInvoice() evalúa generateInvoice y sus combinaciones con fullInvoice/generateSubstitutiveInvoice; ExternalOrdersSimulator.js#L340 → generateInvoice: true",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,├── fullInvoice,data.fullInvoice,fullInvoice,boolean,"Indicates that the invoice created will be a full Invoice. If the fullInvoice and generateInvoice flags are set to true, the generated invoice will be a full Invoice. If the fullInvoice flag is set to false and the generateInvoice and generateSubstitutiveInvoice flags are set to true, the generated invoice will be a Substitutive Invoice.","Indicates full invoice. In addForceInvoice(): if generateInvoice=true and fullInvoice=true, generateSubstitutiveInvoice is removed. If generateInvoice=false, fullInvoice is removed.","LoadExternalOrdersTicket.js#L291-L293 → if (fullInvoice) delete generateSubstitutiveInvoice; L302-L304 → if (!generateInvoice) delete fullInvoice; ExternalOrdersSimulator.js#L341 → fullInvoice: true",OK,"Descripción correcta y detallada."
✅ OK,LOAD,RESPONSE,├── generateSubstitutiveInvoice,data.generateSubstitutiveInvoice,generateSubstitutiveInvoice,boolean,"Indicates that the invoice created will be a Substitutive Invoice. Check the fullInvoice description in order to know which combination of flags will make the generated invoice a Substitutive Invoice.","Indicates substitutive invoice. In addForceInvoice(): if generateInvoice=true and fullInvoice=false and generateSubstitutiveInvoice=true, fullInvoice is removed. If generateInvoice=false it is removed.","LoadExternalOrdersTicket.js#L294-L296 → if (generateSubstitutiveInvoice) delete fullInvoice; L302-L304 → if (!generateInvoice) delete generateSubstitutiveInvoice; ExternalOrdersSimulator.js#L393 → generateSubstitutiveInvoice: true",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,├── isEditable,data.isEditable,isEditable,boolean,"This field indicates whether the order is editable","Indicates if the order is editable. In addBasicProperties() it is used with default true: const { isEditable = true } = newTicket. Propagated to the ticket.","LoadExternalOrdersTicket.js#L256 → const { isEditable = true } = newTicket; L261 → isEditable se incluye en el return; ExternalOrdersSimulator.js → no lo define a nivel ticket (usa default true)",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,├── allowAddProduct,data.allowAddProduct,allowAddProduct,boolean,"Indicates that a new product can be added","Indicates if new products can be added to the order. In addPermissionPropertiesToTicketAndLines() it is used with default true: const { allowAddProduct = true } = newTicket.","LoadExternalOrdersTicket.js#L247 → const { allowAddProduct = true } = newTicket; L249-L251 → return { ...newTicket, allowAddProduct }; ExternalOrdersSimulator.js#L154 → allowAddProduct: true",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,├── isCustomerUneditable,data.isCustomerUneditable,isCustomerUneditable,boolean,"This field indicates whether the customer is non-editable","Indicates if the customer cannot be changed. Preserved in the ticket as-is. Not transformed in LoadExternalOrdersTicket.js.","ExternalOrdersSimulator.js#L160 → isCustomerUneditable: true (en EXT/0001, EXT/0003, EXT/0004, EXT/0006); loadOrderResponse-schema.yml → 'whether the customer is non-editable'",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,├── isReturn,data.isReturn,isReturn,boolean,"Indicates if the document is a return or not inside sales or purchase flow.","Indicates if the document is a return. Preserved in the ticket as-is. No simulator order uses it.","loadOrderResponse-schema.yml → 'Indicates if the document is a return or not'; ExternalOrdersSimulator.js → no incluye isReturn en ningún pedido",OK,"Descripción correcta. No probado en simulador."
✅ OK,LOAD,RESPONSE,├── lines,data.lines,lines,array,"Array containing the list of items","Array of order lines. Processed sequentially in formatExternalTicket(): addBasicProperties() generates IDs, addProductToLines() resolves products by searchKey, addTaxesToTicketAndLines() resolves taxes.","LoadExternalOrdersTicket.js#L272 → addBasicProperties() mapea lines; L63-L86 → addProductToLines() resuelve productos; L117-L157 → addTaxesToTicketAndLines() resuelve taxes",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,│   ├── product,data.lines[].product,product,string,"Product searchKey","Product search key. In addProductToLines() it is used to look up the product in MasterdataModels.Product with criteria.criterion('searchkey', line.product). If not found it throws EXO_OrderData_Error.","LoadExternalOrdersTicket.js#L68-L76 → criteria.criterion('searchkey', line.product) busca en BD; si products.length === 0 lanza ActionCanceled; ExternalOrdersSimulator.js#L167 → product: 'WVG/M0019'",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,│   ├── lineNo,data.lines[].lineNo,lineNo,string,"Line number. Optional","Line number. Optional. Preserved in the line as-is from the response.","ExternalOrdersSimulator.js#L168 → lineNo: '10'; loadOrderResponse-schema.yml → type: string, 'Line number. Optional'",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,│   ├── qty,data.lines[].qty,qty,number,"Quantity of the product","Product quantity in the line. Preserved as-is and used in the final ticket.","ExternalOrdersSimulator.js#L169 → qty: 1; loadOrderResponse-schema.yml → 'Quantity of the product'",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,│   ├── grossAmount,data.lines[].grossAmount,grossAmount,number,"Final total amount of the line, including taxes, and any potential discounts or price reductions applied (in most cases, it is equivalent to grossUnitPrice*quantity)","Total gross amount of the line with taxes and discounts applied. Preserved as-is from the response.","ExternalOrdersSimulator.js#L185 → grossAmount: 169; loadOrderResponse-schema.yml → 'equivalent to grossUnitPrice*quantity'",OK,"Descripción correcta y detallada."
✅ OK,LOAD,RESPONSE,│   ├── netAmount,data.lines[].netAmount,netAmount,number,"Final total amount of the line, excluding taxes, but with any potential discounts or price reductions applied (in most cases, it is equivalent to netUnitPrice*quantity)","Total net amount of the line without taxes but with discounts applied. Preserved as-is from the response.","ExternalOrdersSimulator.js#L186 → netAmount: 139.67; loadOrderResponse-schema.yml → 'equivalent to netUnitPrice*quantity'",OK,"Descripción correcta y detallada."
✅ OK,LOAD,RESPONSE,│   ├── grossUnitPrice,data.lines[].grossUnitPrice,grossUnitPrice,number,"Final price of the product in the line, including taxes. It is based on the final price set by the user, and includes all discounts and promotions.","Final gross unit price with taxes, including discounts and promotions. Preserved as-is from the response.","ExternalOrdersSimulator.js#L170 → grossUnitPrice: 150.5; loadOrderResponse-schema.yml → 'includes all discounts and promotions'",OK,"Descripción correcta y detallada."
✅ OK,LOAD,RESPONSE,│   ├── netUnitPrice,data.lines[].netUnitPrice,netUnitPrice,number,"Final price of the product in the line, excluding taxes. It is based on the final price set by the user, and includes all discounts and promotions, but does not include taxes.","Final net unit price without taxes, including discounts and promotions. Preserved as-is from the response.","ExternalOrdersSimulator.js#L171 → netUnitPrice: 124.38; loadOrderResponse-schema.yml → 'includes all discounts and promotions, but does not include taxes'",OK,"Descripción correcta y detallada."
✅ OK,LOAD,RESPONSE,│   ├── grossListPrice,data.lines[].grossListPrice,grossListPrice,number,"Initially listed price of the product in the line, including taxes. It does not include any potential reduction in the price by the user or any discounts. It does include taxes.","Original gross list price with taxes, without discounts or user price reductions. Preserved as-is from the response.","ExternalOrdersSimulator.js#L172 → grossListPrice: 150.5; loadOrderResponse-schema.yml → 'does not include any potential reduction'",OK,"Descripción correcta y detallada."
✅ OK,LOAD,RESPONSE,│   ├── netListPrice,data.lines[].netListPrice,netListPrice,number,"Initially listed price of the product in the line, excluding taxes. It does not include any potential reduction in the price by the user or any discounts, or any taxes that might apply.","Original net list price without taxes or discounts. Preserved as-is from the response. NOTE: not in the schema's required but used in the simulator.","ExternalOrdersSimulator.js#L187 → netListPrice: 139.67; loadOrderResponse-schema.yml → no está en required[]",OK,"Descripción correcta y detallada."
✅ OK,LOAD,RESPONSE,│   ├── id,data.lines[].id,id,string,"Id of the line. Optional","Line ID. Optional. If it does not come from the response, addBasicProperties() generates one with OB.App.UUID.generate(). If it comes, it is preserved.","LoadExternalOrdersTicket.js#L272 → lines: newTicket.lines.map(line => ({ id: OB.App.UUID.generate(), ...line })) — el UUID se genera primero pero el spread de line lo sobreescribe si trae id; ExternalOrdersSimulator.js#L179 → id: OB.App.UUID.generate()",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,│   ├── netUnitAmount,data.lines[].netUnitAmount,netUnitAmount,number,"Same as netAmount (can be specified instead)","Equivalent to netAmount. Can be specified instead. Preserved as-is from the response.","ExternalOrdersSimulator.js#L180 → netUnitAmount: 124.38; loadOrderResponse-schema.yml → 'Same as netAmount (can be specified instead)'",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,│   ├── priceIncludesTax,data.lines[].priceIncludesTax,priceIncludesTax,boolean,"Indicates if taxes are included in the price","Indicates if the prices of this line include taxes. Preserved at line level. Note that it also exists at ticket level (priceIncludesTaxes in schema, priceIncludesTax in code).","ExternalOrdersSimulator.js#L181 → priceIncludesTax: true; loadOrderResponse-schema.yml → 'Indicates if taxes are included in the price'",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,│   ├── isEditable,data.lines[].isEditable,isEditable,boolean,"This field indicates whether the line is editable","Indicates if the line is editable. In addBasicProperties() it is normalized: isEditable: line.isEditable !== false (default true). Also conditions skipApplyPromotions.","LoadExternalOrdersTicket.js#L273 → isEditable: line.isEditable !== false; L275-L277 → skipApplyPromotions: line.skipApplyPromotions != null ? line.skipApplyPromotions : line.isEditable !== false; ExternalOrdersSimulator.js#L182 → isEditable: true",OK,"Descripción correcta."
✅ OK,LOAD,RESPONSE,│   ├── baseGrossUnitAmount,data.lines[].baseGrossUnitAmount,baseGrossUnitAmount,number,"Total amount of the line with taxes included, with potentially user-defined price changes also applied, but without discounts applied to the line","Total amount of the line with taxes and user-defined price changes, but without line discounts. Preserved as-is from the response.","ExternalOrdersSimulator.js#L183 → baseGrossUnitAmount: 150.5; loadOrderResponse-schema.yml → 'without discounts applied to the line'",OK,"Descripción correcta y detallada."
✅ OK,LOAD,RESPONSE,│   ├── baseNetUnitAmount,data.lines[].baseNetUnitAmount,baseNetUnitAmount,number,"Total amount of the line with potentially user-defined price changes applied, but without either taxes or discounts applied","Total amount of the line with user-defined price changes, without taxes or discounts. Preserved as-is. In the simulator it is always 0.","ExternalOrdersSimulator.js#L184 → baseNetUnitAmount: 0; loadOrderResponse-schema.yml → 'without either taxes or discounts applied'",OK,"Descripción correcta. Valor 0 en simulador sugiere que no se calcula realmente en el mock."
✅ OK,LOAD,RESPONSE,│   ├── baseGrossUnitPrice,data.lines[].baseGrossUnitPrice,baseGrossUnitPrice,number,"Price of the product in the line with taxes applied, with potentially user-defined price changes, but without discounts yet applied","Gross unit price with taxes and user-defined price changes, but without discounts. Preserved as-is from the response.","ExternalOrdersSimulator.js#L185 → baseGrossUnitPrice: 150.5; loadOrderResponse-schema.yml → 'without discounts yet applied'",OK,"Descripción correcta y detallada."
✅ OK,LOAD,RESPONSE,│   ├── grossUnitAmount,data.lines[].grossUnitAmount,grossUnitAmount,number,"Same as grossAmount (can be specified instead)","Equivalent to grossAmount. Can be specified instead. Preserved as-is from the response.","ExternalOrdersSimulator.js#L186 → grossUnitAmount: 150.5; loadOrderResponse-schema.yml → 'Same as grossAmount (can be specified instead)'",OK,"Descripción correcta."
